# freq,amp,phi
1.189536144081842650e+01,2.748979994169090287e-03,1.481138816836198302e-01
7.834508502855303647e+00,3.903269309699388540e-03,1.308299845357255187e+00
5.195886628931951634e+00,3.050433268927474004e-03,2.937628161451063313e+00
8.126364913580335525e+00,2.970204240565780564e-03,1.631806612516051302e-03
6.196355397370187035e+00,3.268339223306394523e-03,-2.070270699642071222e+00
6.720996783185799295e+00,2.124048642706999074e-03,1.631654398929864414e+00
6.542133301940461720e+00,2.315926562731044323e-03,-2.193420403624682713e+00
8.177388582422505436e+00,3.399515307991390293e-03,2.730746677422621893e-01
7.662909175648207949e+00,3.274292597336322594e-03,-5.175560935446048560e-01
7.183075633119523573e+00,2.631149287856085484e-03,7.988107172503067233e-01
6.742364008500848271e+00,3.402054218991364381e-03,-2.735421711343603235e+00
7.312830929281117776e+00,2.896141508691605845e-03,3.054945026681282982e+00
5.798925273590770146e+00,2.934188082270742202e-03,-1.054766299773192362e+00
6.458775058892404886e+00,2.766910705856732468e-03,1.739461532153531387e+00
8.385098798852038016e+00,2.714313650338403237e-03,1.779288787685507245e+00
4.987000637961356730e+00,2.029390270999879495e-03,-1.396475849708322281e+00
5.744960259848256534e+00,2.466774318380104102e-03,1.039678838047472631e+00
9.520761744638381430e+00,2.597345831630794646e-03,-2.556022205246065049e+00
7.063477318737652944e+00,2.227376512336181388e-03,4.180295257540911358e-01
7.095400366610004284e+00,4.109882617951915798e-03,-2.969617689337736177e+00
4.998085201405787714e+00,2.565283853678376920e-03,2.751108228747556339e-02
9.834639835157886978e+00,3.936689424294976918e-03,-2.406626497576108470e+00
7.896325366876310703e+00,1.961569018352960023e-03,-2.852827013835264935e+00
9.487455409381443161e+00,3.049161866812344010e-03,1.499891206118420861e+00
9.757445068564976509e+00,2.428495341824592202e-03,5.779343219558530365e-02
5.386848184387361904e+00,2.349762355169074737e-03,-2.410677465838280575e+00
6.499035182440064062e+00,4.816308394548919625e-03,2.732497937326431092e+00
7.159705841736048626e+00,3.288033617490600854e-03,2.528319478567499168e+00
7.073871066044806533e+00,4.558115618136331787e-03,4.307422253553276903e-01
8.112778274859550720e+00,2.674860676861240925e-03,9.248406360821848082e-01
4.746506554204103168e+00,3.245567272204456007e-03,-6.150714516092117279e-01
5.684199179613210084e+00,2.621471794217460679e-03,1.215017642220306726e+00
6.670719583276724762e+00,2.036442775929779483e-03,-2.738504236599139663e+00
6.165164968574204707e+00,3.155821122589464248e-03,-1.667415469618523938e+00
7.003146394164672550e+00,2.555373194587230549e-03,2.318953662650655723e+00
6.316659583012203427e+00,2.590066930178829170e-03,1.787355088271751491e+00
6.611934259456539564e+00,2.358470015322529367e-03,2.132261690273969279e+00
1.128884111779976251e+01,2.692398273355951083e-03,1.237340021001819501e+00
4.781785478979075243e+00,3.103518624833981419e-03,1.246941550427558276e+00
7.333355616618198347e+00,3.777895043465062143e-03,-5.093668789214298442e-01
6.947147489051339164e+00,3.311290117968033499e-03,-2.957635278728190098e+00
5.735459859575535724e+00,3.760457311632209657e-03,-2.223043776290864137e+00
7.368837363809587870e+00,3.379488232342818532e-03,-3.040697728438426672e+00
8.022275554377728213e+00,2.234928527006371443e-03,-2.150037902950753921e+00
8.103422686498772620e+00,2.780478759309423786e-03,-3.120772293809786380e+00
6.160271879301260967e+00,2.987163158731673783e-03,-1.761358966501429757e+00
5.873924590274951285e+00,3.752823493795415764e-03,9.091244075413396075e-03
7.104701724947496189e+00,3.575007110371641785e-03,3.086288721748399411e+00
9.108776526685348429e+00,3.891609981939302305e-03,-2.077156990745677945e+00
1.173985935693179528e+01,2.941584957838990107e-03,-2.473505007133887545e+00
7.513250242859431438e+00,2.006646950582314636e-03,2.747860777248658515e+00
9.305274595194141796e+00,1.914341630981762458e-03,2.259941635409471239e+00
6.497076356874222469e+00,3.269523796164481438e-03,8.748509905767098971e-01
5.375950617979856183e+00,2.833593351564604821e-03,1.606219337263787850e+00
