# freq,amp,phi
1.758655024712286075e+00,3.790113303639059111e-03,-7.080073655345318073e-01
3.433813348452469327e+00,1.856331533557741735e-03,2.696243107706431275e+00
1.037447228936884347e+00,3.017624994380158077e-03,2.977092599256940808e+00
1.109271397953648597e+00,2.271615476905476747e-03,6.049155342366665522e-01
1.076039278449986369e+00,3.242091172357896081e-03,-2.808787563072139726e+00
3.491189257666905021e+00,2.340085950407171794e-03,2.841179673755347856e+00
4.676239874849192901e+00,2.197001604387465064e-03,-2.275360566284052588e+00
5.060655774548054708e+00,2.937275569417494101e-03,-2.693501460941725156e+00
1.898650008289711089e+00,3.063463983537743213e-03,3.701752326187945918e-01
1.230859473763462164e+00,4.107705727724278964e-03,1.936231731473979423e+00
1.042300799585995197e+00,2.868447712189033973e-03,-1.072467740483983079e+00
2.318120894830008272e+00,2.757544324920229405e-03,-2.927045335037762097e+00
1.202796993349443344e+00,2.128158121020010639e-03,-1.935691574246518831e+00
7.187626805559141019e+00,2.589394765135262511e-03,1.380052561482495221e+00
4.734649690002176392e+00,1.928573882006366430e-03,-2.701405582701270625e+00
4.627045149338689711e+00,1.771153769907286065e-03,-2.961852279062385129e+00
2.118532702924655009e+00,2.222480293380676292e-03,-1.925269623433858879e+00
3.843346673385458878e+00,3.594823989377790227e-03,-3.092448860261337362e+00
2.232822714975185363e+00,2.090140108093179686e-03,8.217245736368958831e-01
