# freq,amp,phi
1.245753038986908479e+00,1.937122767684761569e-03,-2.787421560346769134e+00
1.318896807252175396e+00,2.989457101652734025e-03,1.948719879916314568e+00
2.254389415219208992e+00,1.922858395072554044e-03,2.324190196518124196e+00
1.764836884584625398e+00,2.238338921023748894e-03,2.409417073743332693e+00
1.211300796275960545e+00,2.451684392418891634e-03,-7.007619847078316866e-02
1.513837388841226872e+00,1.990801120400530200e-03,-2.717624012461507643e+00
1.859759790129243306e+00,1.639332047108129102e-03,-7.827919360389801184e-02
1.346287724814503539e+00,1.334256047528067013e-03,-2.151853624545410071e-01
9.631642017053494431e-01,1.752843596764964724e-03,1.412477023678225585e+00
1.011364747446378276e+00,2.265566528612714473e-03,-2.141057026692252840e+00
1.622548412464638989e+00,2.990714318777309890e-03,-1.853808961720626147e+00
1.658797647624918659e+00,1.912294369952765617e-03,-2.035393586890159590e+00
1.938235665838080379e+00,1.965675147698535321e-03,3.086100017465846612e+00
1.351343308865641690e+00,2.976193221632353336e-03,1.025606073816969221e+00
2.486592952635925613e+00,2.348301867782882999e-03,2.734710325944010201e+00
1.168099136026308882e+00,2.398304493737825338e-03,-5.453780692514853534e-01
1.732356555475103477e+00,4.014996482477826631e-03,8.070263503428072305e-01
1.905352557954357096e+00,2.106277921421830044e-03,-2.946257520627187709e+00
1.082019528278675313e+00,1.827544371123110065e-03,3.503417280063612083e-01
2.106941843728288077e+00,1.864424772069252657e-03,-1.821925343394032559e+00
1.112065173369521931e+00,2.062756411752863367e-03,1.638556321746867717e+00
2.228001436021240345e+00,2.537922066078024744e-03,-1.179518940014079309e+00
1.480679037628128913e+00,2.477593982703122592e-03,1.738755531369750251e+00
1.937180125135790965e+00,4.355170086665662715e-03,2.172757521860700258e+00
1.343005315188409377e+00,1.993033284629914213e-03,-1.763241545340306082e-01
1.622743654454339879e+00,1.613132773154525188e-03,-2.703081225454059044e+00
4.784033271286969757e+00,1.801425507156007022e-03,2.465568492887239671e+00
2.244055250795451428e+00,1.331542044694533893e-03,-2.747425762323970844e+00
1.112677213590426373e+00,1.396253105390360578e-03,1.008997633106253566e+00
1.237010874135499705e+00,1.587749263848567188e-03,-8.276827230215131337e-01
1.606380350750462149e+00,2.318731286201641036e-03,2.718105947399882538e-01
1.349194377520385846e+00,3.046502074452852281e-03,9.279120886527358891e-01
1.338327016612696374e+00,2.071996941083878354e-03,2.893437855228186528e+00
1.648049526913921259e+00,3.380821439259891915e-03,2.702436529693490463e-01
2.089674687697538058e+00,1.514484609777613138e-03,-2.774242889754507502e+00
2.034714213472594402e+00,2.710795515562324821e-03,1.957125691912725785e+00
2.919115314204477230e+00,1.355668332813988368e-03,6.224916040455488186e-01
1.076051997144288119e+00,2.188937068848423664e-03,8.450853507320599256e-01
1.179930443844637633e+00,2.125438888994317724e-03,-4.826953353692244875e-01
9.946520313277459335e-01,2.453221433169072013e-03,2.972330162263941311e+00
1.829219287481789857e+00,2.649812249124808977e-03,-2.207033467427691686e+00
3.085345830182721905e+00,2.265208630352625457e-03,1.304670943194429888e+00
1.469650029859131735e+00,2.108583868235047905e-03,-2.230832151724428947e+00
1.530324019373904942e+00,1.246048733028901068e-03,-2.074596276745737988e+00
1.266611152213463987e+00,1.775400001403112764e-03,1.300900799451111034e+00
